,月份,股票代码,股票名称
0,2005-05,807,云铝股份
0,2005-05,600005,武钢股份
0,2005-05,600508,上海能源
0,2005-05,600779,水井坊
0,2005-05,600881,亚泰集团
0,2005-05,527,美的电器
0,2005-05,825,太钢不锈
0,2005-05,898,鞍钢股份
0,2005-05,600037,歌华有线
0,2005-05,21,深科技
0,2005-05,680,山推股份
0,2005-05,600183,生益科技
0,2005-05,600307,酒钢宏兴
0,2005-05,600320,振华重工
0,2005-05,600500,中化国际
0,2005-05,600812,华北制药
0,2005-05,27,深圳能源
0,2005-05,600008,首创环保
0,2005-05,600026,中远海能
0,2005-05,600428,中远海特
0,2005-05,600635,大众公用
0,2005-05,600808,马钢股份
0,2005-05,600879,航天电子
0,2005-05,31,大悦城
0,2005-05,927,中国铁物
0,2005-05,600004,白云机场
0,2005-05,600220,江苏阳光
0,2005-05,600269,赣粤高速
0,2005-05,600675,中华企业
0,2005-05,600717,天津港
0,2005-05,600631,百联股份(合并前)
0,2005-05,900,现代投资
0,2005-05,600006,东风汽车
0,2005-05,600033,福建高速
0,2005-05,600087,南京油运
0,2005-05,600210,紫江企业
0,2005-05,600350,山东高速
0,2005-05,600597,光明乳业
0,2005-05,600601,方正科技
0,2005-05,600663,陆家嘴
0,2005-05,89,深圳机场
0,2005-05,488,晨鸣纸业
0,2005-05,717,韶钢松山
0,2005-05,932,华菱钢铁
0,2005-05,600011,华能国际
0,2005-05,600022,山东钢铁
0,2005-05,600102,莱钢股份
0,2005-05,600236,桂冠电力
0,2005-05,600282,南钢股份
0,2005-05,600569,安阳钢铁
0,2005-05,600643,爱建集团
0,2005-05,600688,上海石化
0,2005-05,600820,隧道股份
0,2005-05,600835,上海机电
0,2005-05,600886,国投电力
0,2005-05,559,万向钱潮
0,2005-05,822,山东海化
0,2005-05,917,电广传媒
0,2005-05,600270,外运发展
0,2005-05,600639,浦东金桥
0,2005-05,600874,创业环保
0,2005-05,629,攀钢钒钛
0,2005-05,912,泸天化
0,2005-05,600110,诺德股份
0,2005-05,600117,西宁特钢
0,2005-05,600308,华泰股份
0,2005-05,600653,申华控股
0,2005-05,600770,综艺股份
0,2005-05,600001,邯郸钢铁
0,2005-05,600357,承德钒钛
0,2005-05,88,盐田港
0,2005-05,503,国新健康
0,2005-05,539,粤电力
0,2005-05,767,晋控电力
0,2005-05,600020,中原高速
0,2005-05,600021,上海电力
0,2005-05,600098,广州发展
0,2005-05,600591,上海航空
0,2005-05,600747,大连控股
0,2005-05,600780,通宝能源
0,2005-05,600863,内蒙华电
0,2005-05,600887,伊利股份
0,2005-05,36,华联控股
0,2005-05,410,沈阳机床
0,2005-05,541,佛山照明
0,2005-05,581,威孚高科
0,2005-05,636,风华高科
0,2005-05,828,东莞控股
0,2005-05,600012,皖通高速
0,2005-05,600718,东软集团
0,2005-05,600797,浙大网新
0,2005-05,600851,海欣股份
0,2005-05,400,许继电气
0,2005-05,550,江铃汽车
0,2005-05,682,东方电子
0,2005-05,708,中信特钢
0,2005-05,786,北新建材
0,2005-05,970,中科三环
0,2005-05,600035,楚天高速
0,2005-05,600088,中视传媒
0,2005-05,600662,强生控股
0,2005-05,600868,梅雁吉祥
0,2005-05,601607,上海医药
0,2005-05,66,中国长城
0,2005-05,68,华控赛格
0,2005-05,623,吉林敖东
0,2005-05,930,中粮科技
0,2005-05,962,东方钽业
0,2005-05,600060,海信视像
0,2005-05,600078,澄星股份
0,2005-05,600171,上海贝岭
0,2005-05,100,TCL科技
0,2005-05,423,东阿阿胶
0,2005-05,520,长航凤凰
0,2005-05,601,韶能股份
0,2005-05,698,沈阳化工
0,2005-05,725,京东方
0,2005-05,875,吉电股份
0,2005-05,895,双汇发展
0,2005-05,1872,招商港口
0,2005-05,600073,上海梅林
0,2005-05,600089,特变电工
0,2005-05,600121,郑州煤电
0,2005-05,600198,大唐电信
0,2005-05,600377,宁沪高速
0,2005-05,600548,深高速
0,2005-05,600602,云赛智联
0,2005-05,600637,东方明珠
0,2005-05,600871,石化油服
0,2005-05,600884,杉杉股份
0,2005-05,600333,长春燃气
0,2005-05,600724,宁波富达
0,2005-05,600205,山东铝业
0,2005-05,600296,兰州铝业
0,2005-05,600231,凌钢股份
0,2005-05,939,凯迪生态
0,2005-05,600894,广日股份
0,2005-05,518,四环生物
0,2005-05,659,珠海中富
0,2005-05,726,鲁泰纺织
0,2005-05,733,振华科技
0,2005-05,806,银河生物
0,2005-05,920,沃顿科技
0,2005-05,959,首钢股份
0,2005-05,968,蓝焰控股
0,2005-05,600057,厦门象屿
0,2005-05,600091,明天科技
0,2005-05,600115,中国东航
0,2005-05,600126,杭钢股份
0,2005-05,600138,中青旅
0,2005-05,600166,福田汽车
0,2005-05,600207,安彩高科
0,2005-05,600215,长春经开
0,2005-05,600408,安泰集团
0,2005-05,600581,八一钢铁
0,2005-05,600621,华鑫股份
0,2005-05,600652,游久游戏
0,2005-05,600654,中安科
0,2005-05,600674,川投能源
0,2005-05,600854,春兰股份
0,2005-05,990018,上港集箱
0,2005-05,780,平庄能源
0,2005-05,16,康佳集团
0,2005-05,429,粤高速
0,2005-05,507,珠海港
0,2005-05,511,烯碳新材
0,2005-05,533,顺钠股份
0,2005-05,543,皖能电力
0,2005-05,571,大洲控股
0,2005-05,573,粤宏远
0,2005-05,666,经纬纺机
0,2005-05,727,冠捷科技
0,2005-05,735,罗牛山
0,2005-05,737,南风化工
0,2005-05,886,海南高速
0,2005-05,916,华北高速
0,2005-05,949,新乡化纤
0,2005-05,600007,中国国贸
0,2005-05,600068,葛洲坝
0,2005-05,600103,青山纸业
0,2005-05,600190,锦州港
0,2005-05,600608,上海科技
0,2005-05,600705,中航产融
0,2005-05,600707,彩虹股份
0,2005-05,600726,华电能源
0,2005-05,600744,华银电力
0,2005-05,600790,轻纺城
0,2005-05,600805,悦达投资
0,2005-05,600866,星湖科技
0,2005-05,600002,齐鲁石化
0,2005-05,406,石油大明
0,2005-05,866,扬子石化
0,2005-05,956,中原油气
0,2005-05,96,广聚能源
0,2005-05,420,吉林化纤
0,2005-05,498,山东路桥
0,2005-05,612,焦作万方
0,2005-05,763,锦州石化
0,2005-05,817,辽河油田
0,2005-05,823,超声电子
0,2005-05,831,五矿稀土
0,2005-05,600074,保千里
0,2005-05,600135,乐凯胶片
0,2005-05,600630,龙头股份
0,2005-05,600638,新黄浦
0,2005-05,29,深房集团
0,2005-05,532,华金资本
0,2005-05,562,宏源证券
0,2005-05,921,海信家电
0,2005-05,600072,中船科技
0,2005-05,600228,返利科技
0,2005-05,600271,航天信息
0,2005-05,600489,中金黄金
0,2005-05,600641,万业企业
0,2005-05,600710,苏美达
0,2005-05,600748,上实发展
0,2005-05,600757,长江传媒
0,2005-05,600761,安徽合力
0,2005-05,600838,上海九百
0,2005-05,1,平安银行
0,2005-05,2,万科
0,2005-05,63,中兴通讯
0,2005-05,69,华侨城
0,2005-05,157,中联重科
0,2005-05,425,徐工机械
0,2005-05,568,泸州老窖
0,2005-05,625,长安汽车
0,2005-05,651,格力电器
0,2005-05,858,五粮液
0,2005-05,600000,浦发银行
0,2005-05,600009,上海机场
0,2005-05,600010,包钢股份
0,2005-05,600015,华夏银行
0,2005-05,600016,民生银行
0,2005-05,600019,宝钢股份
0,2005-05,600028,中国石化
0,2005-05,600029,南方航空
0,2005-05,600030,中信证券
0,2005-05,600031,三一重工
0,2005-05,600036,招商银行
0,2005-05,600050,中国联通
0,2005-05,600085,同仁堂
0,2005-05,600104,上汽集团
0,2005-05,600196,复星医药
0,2005-05,600309,万华化学
0,2005-05,600362,江西铜业
0,2005-05,600519,贵州茅台
0,2005-05,600585,海螺水泥
0,2005-05,600660,福耀玻璃
0,2005-05,600690,海尔智家
0,2005-05,600741,华域汽车
0,2005-05,600795,国电电力
0,2005-05,600900,长江电力
0,2005-06,600177,雅戈尔
0,2005-06,709,河钢股份
0,2005-06,600170,上海建工
0,2005-06,600188,兖州煤业
0,2005-06,600221,海航控股
0,2005-06,600583,海油工程
0,2005-06,630,铜陵有色
0,2005-06,600100,同方股份
0,2005-06,600153,建发股份
0,2005-06,402,金融街
0,2005-06,792,盐湖股份
0,2005-06,600739,辽宁成大
0,2005-06,60,中金岭南
0,2005-06,600649,城投控股
0,2005-06,9,中国宝安
0,2005-06,600256,广汇能源
0,2005-06,39,中集集团
0,2005-06,61,农产品
0,2005-06,778,新兴铸管
0,2005-06,800,一汽解放
0,2005-06,600839,四川长虹
0,2005-06,729,燕京啤酒
0,2005-06,600600,青岛啤酒
0,2005-06,600642,申能股份
0,2005-06,937,冀中能源
0,2005-06,983,山西焦煤
0,2005-06,24,招商地产
0,2005-06,839,中信国安
0,2005-06,878,云南铜业
0,2005-06,960,锡业股份
0,2005-06,600108,亚盛集团
0,2005-06,600348,华阳股份
0,2005-06,401,冀东水泥
0,2005-06,600058,五矿发展
0,2005-06,600832,明珠集团
0,2005-06,12,南玻集团
0,2005-06,758,中色股份
0,2005-06,600096,云天化
0,2005-06,600123,兰花科创
0,2005-06,600895,张江高科
0,2005-06,528,柳工
0,2005-06,933,神火煤电
0,2005-06,600266,北京城建
0,2005-06,600598,北大荒
0,2005-06,600694,大商股份
0,2005-06,600811,东方集团
0,2005-06,600997,开滦股份
0,2005-06,807,云铝股份
0,2005-06,600005,武钢股份
0,2005-06,600508,上海能源
0,2005-06,600779,水井坊
0,2005-06,600881,亚泰集团
0,2005-06,527,美的电器
0,2005-06,825,太钢不锈
0,2005-06,898,鞍钢股份
0,2005-06,600037,歌华有线
0,2005-06,21,深科技
0,2005-06,680,山推股份
0,2005-06,600183,生益科技
0,2005-06,600307,酒钢宏兴
0,2005-06,600320,振华重工
0,2005-06,600500,中化国际
0,2005-06,600812,华北制药
0,2005-06,27,深圳能源
0,2005-06,600008,首创环保
0,2005-06,600026,中远海能
0,2005-06,600428,中远海特
0,2005-06,600635,大众公用
0,2005-06,600808,马钢股份
0,2005-06,600879,航天电子
0,2005-06,31,大悦城
0,2005-06,927,中国铁物
0,2005-06,600004,白云机场
0,2005-06,600220,江苏阳光
0,2005-06,600269,赣粤高速
0,2005-06,600675,中华企业
0,2005-06,600717,天津港
0,2005-06,600631,百联股份(合并前)
0,2005-06,900,现代投资
0,2005-06,600006,东风汽车
0,2005-06,600033,福建高速
0,2005-06,600087,南京油运
0,2005-06,600210,紫江企业
0,2005-06,600350,山东高速
0,2005-06,600597,光明乳业
0,2005-06,600601,方正科技
0,2005-06,600663,陆家嘴
0,2005-06,89,深圳机场
0,2005-06,488,晨鸣纸业
0,2005-06,717,韶钢松山
0,2005-06,932,华菱钢铁
0,2005-06,600011,华能国际
0,2005-06,600022,山东钢铁
0,2005-06,600102,莱钢股份
0,2005-06,600236,桂冠电力
0,2005-06,600282,南钢股份
0,2005-06,600569,安阳钢铁
0,2005-06,600643,爱建集团
0,2005-06,600688,上海石化
0,2005-06,600820,隧道股份
0,2005-06,600835,上海机电
0,2005-06,600886,国投电力
0,2005-06,559,万向钱潮
0,2005-06,822,山东海化
0,2005-06,917,电广传媒
0,2005-06,600270,外运发展
0,2005-06,600639,浦东金桥
0,2005-06,600874,创业环保
0,2005-06,629,攀钢钒钛
0,2005-06,912,泸天化
0,2005-06,600110,诺德股份
0,2005-06,600117,西宁特钢
0,2005-06,600308,华泰股份
0,2005-06,600653,申华控股
0,2005-06,600770,综艺股份
0,2005-06,600001,邯郸钢铁
0,2005-06,600357,承德钒钛
0,2005-06,88,盐田港
0,2005-06,503,国新健康
0,2005-06,539,粤电力
0,2005-06,767,晋控电力
0,2005-06,600020,中原高速
0,2005-06,600021,上海电力
0,2005-06,600098,广州发展
0,2005-06,600591,上海航空
0,2005-06,600747,大连控股
0,2005-06,600780,通宝能源
0,2005-06,600863,内蒙华电
0,2005-06,600887,伊利股份
0,2005-06,36,华联控股
0,2005-06,410,沈阳机床
0,2005-06,541,佛山照明
0,2005-06,581,威孚高科
0,2005-06,636,风华高科
0,2005-06,828,东莞控股
0,2005-06,600012,皖通高速
0,2005-06,600718,东软集团
0,2005-06,600797,浙大网新
0,2005-06,600851,海欣股份
0,2005-06,400,许继电气
0,2005-06,550,江铃汽车
0,2005-06,682,东方电子
0,2005-06,708,中信特钢
0,2005-06,786,北新建材
0,2005-06,970,中科三环
0,2005-06,600035,楚天高速
0,2005-06,600088,中视传媒
0,2005-06,600662,强生控股
0,2005-06,600868,梅雁吉祥
0,2005-06,601607,上海医药
0,2005-06,66,中国长城
