,开始日期_BegDt,结束日期_EndDt,成分股代码_CompoStkCd,成分股名称_CompoStkNm
97,2007-07,2009-07,"000829, 600961","天音控股, 株冶集团"
98,2007-07,2010-07,600685,中船防务
99,2007-07,2011-01,"601588, 601872, 601991","北辰实业, 招商轮船, 大唐发电"
100,2007-07,2011-07,"000046, 000959, 600017","泛海控股, 首钢股份, 日照港"
101,2007-07,2012-01,000612,焦作万方
102,2007-07,2014-06,600528,中铁工业
103,2007-07,2014-12,"600219, 601666","南山铝业, 平煤股份"
104,2007-07,2016-06,601699,潞安环能
105,2007-07,2019-06,601333,广深铁路
106,2007-07,2021-06,600208,新湖中宝
107,2007-12,2012-07,600380,健康元
108,2008-01,2008-07,002122,天马股份
109,2008-01,2009-01,"000572, 000761, 600377","海马汽车, 本钢板材, 宁沪高速"
110,2008-01,2009-07,"600115, 600978, 601003","中国东航, 宜华生活, 柳钢股份"
111,2008-01,2010-01,"000543, 600548, 601005","皖能电力, 深高速, 重庆钢铁"
112,2008-01,2010-07,"600158, 600638","中体产业, 新黄浦"
113,2008-01,2011-07,"600325, 600611","华发股份, 大众交通"
114,2008-01,2012-01,000951,中国重汽
115,2008-01,2013-01,"600595, 601919","中孚实业, 中远海控"
116,2008-01,2013-12,002128,露天煤业
117,2008-01,2014-12,000718,苏宁环球
118,2008-01,2015-12,601168,西部矿业
119,2008-01,2016-12,601808,中海油服
120,2008-01,2020-06,000423,东阿阿胶
121,2008-01,2020-12,600089,特变电工
122,2008-03,2010-07,000301,东方盛虹
123,2008-07,2009-01,600169,太原重工
124,2008-07,2009-07,"000755, 002097, 002146","山西路桥, 山河智能, 荣盛发展"
125,2008-07,2010-07,600859,王府井
126,2008-07,2011-07,000667,美好置业
127,2008-07,2014-06,002155,湖南黄金
128,2008-07,2014-12,"600376, 601918","首开股份, 新集能源"
129,2008-07,2016-12,601898,中煤能源
130,2008-07,2018-06,000686,东北证券
131,2008-07,2018-12,"600804, 601866","鹏博士, 中远海发"
132,2008-07,2021-12,000728,国元证券
133,2009-01,2009-07,"002152, 600062","广电运通, 华润双鹤"
134,2009-01,2010-01,"000725, 600299","京东方, 安迪苏"
135,2009-01,2011-01,"600251, 600426","冠农股份, 华鲁恒升"
136,2009-01,2012-01,000690,宝新能源
137,2009-01,2012-07,600737,中粮糖业
138,2009-01,2013-07,000968,蓝焰控股
139,2009-01,2015-06,600664,哈药股份
140,2009-01,2015-12,002001,新和成
141,2009-01,2018-12,"000623, 601958","吉林敖东, 金钼股份"
142,2009-01,2020-12,600674,川投能源
143,2009-07,2010-01,"002038, 002194, 002269","双鹭药业, 武汉凡谷, 美邦服饰"
144,2009-07,2010-07,"600176, 600276, 600582, 600782, 600816","中国巨石, 恒瑞医药, 天地科技, 新钢股份, 安信信托"
145,2009-07,2011-07,002242,九阳股份
146,2009-07,2012-01,"000685, 002028","中山公用, 思源电气"
147,2009-07,2012-07,"002244, 601727","滨江集团, 上海电气"
148,2009-07,2013-07,002122,天马股份
149,2009-07,2013-12,600169,太原重工
150,2009-07,2014-06,600970,中材国际
151,2009-07,2014-12,600216,浙江医药
152,2009-07,2015-06,600395,盘江股份
153,2009-07,2015-12,600516,方大炭素
154,2009-07,2016-12,000999,华润三九
155,2009-07,2017-12,600718,东软集团
156,2009-07,2019-06,600518,康美药业
157,2010-01,2010-07,"002275, 600648","桂林三金, 外高桥"
158,2010-01,2011-01,"000631, 600246","顺发恒业, 万通发展"
159,2010-01,2011-07,"600657, 601099","信达地产, 太平洋"
160,2010-01,2012-01,"600239, 600312, 600517, 601107","云南城投, 平高电气, 国网英大, 四川成渝"
161,2010-01,2012-07,600161,天坛生物
162,2010-01,2013-12,000780,平庄能源
163,2010-01,2014-12,600062,华润双鹤
164,2010-01,2016-06,600166,福田汽车
165,2010-01,2021-06,600369,西南证券
166,2010-07,2011-01,"601003, 601801","柳钢股份, 皖新传媒"
167,2010-07,2011-07,"601139, 601877","深圳燃气, 正泰电器"
168,2010-07,2012-01,"000725, 600300","京东方, 维维股份"
169,2010-07,2013-07,601179,中国西电
170,2010-07,2013-12,601788,光大证券
171,2010-07,2014-12,000961,中南建设
172,2010-07,2015-05,601299,中国北车
173,2010-07,2016-12,"600863, 601117","内蒙华电, 中国化学"
174,2011-01,2012-01,"002294, 600823","信立泰, 世茂股份"
175,2011-01,2012-07,"600481, 600582","双良节能, 天地科技"
176,2011-01,2013-01,601268,二重重装
177,2011-01,2013-07,002405,四维图新
178,2011-01,2013-12,002092,中泰化学
179,2011-01,2014-06,"601101, 601106, 601369","昊华能源, 中国一重, 陕鼓动力"
180,2011-01,2014-12,600546,山煤国际
