,month_details,stock,stock_name,month
237,2005-04,000406,石油大明,85
238,2005-04,000866,扬子石化,85
239,2005-04,000956,中原油气,85
240,2005-04,000096,广聚能源,85
241,2005-04,000420,吉林化纤,85
242,2005-04,000498,山东路桥,85
243,2005-04,000612,焦作万方,85
244,2005-04,000763,锦州石化,85
245,2005-04,000817,辽河油田,85
246,2005-04,000823,超声电子,85
247,2005-04,000831,五矿稀土,85
248,2005-04,600074,保千里,85
249,2005-04,600135,乐凯胶片,85
250,2005-04,600630,龙头股份,85
251,2005-04,600638,新黄浦,85
252,2005-04,000029,深房集团,85
253,2005-04,000532,华金资本,85
254,2005-04,000562,宏源证券,85
255,2005-04,000921,海信家电,85
256,2005-04,600072,中船科技,85
257,2005-04,600228,返利科技,85
258,2005-04,600271,航天信息,85
259,2005-04,600489,中金黄金,85
260,2005-04,600641,万业企业,85
261,2005-04,600710,苏美达,85
262,2005-04,600748,上实发展,85
263,2005-04,600757,长江传媒,85
264,2005-04,600761,安徽合力,85
265,2005-04,600838,上海九百,85
266,2005-04,000001,平安银行,85
267,2005-04,000002,万科,85
268,2005-04,000063,中兴通讯,85
269,2005-04,000069,华侨城,85
270,2005-04,000157,中联重科,85
271,2005-04,000425,徐工机械,85
272,2005-04,000568,泸州老窖,85
273,2005-04,000625,长安汽车,85
274,2005-04,000651,格力电器,85
275,2005-04,000858,五粮液,85
276,2005-04,600000,浦发银行,85
277,2005-04,600009,上海机场,85
278,2005-04,600010,包钢股份,85
279,2005-04,600015,华夏银行,85
280,2005-04,600016,民生银行,85
281,2005-04,600019,宝钢股份,85
282,2005-04,600028,中国石化,85
283,2005-04,600029,南方航空,85
284,2005-04,600030,中信证券,85
285,2005-04,600031,三一重工,85
286,2005-04,600036,招商银行,85
287,2005-04,600050,中国联通,85
288,2005-04,600085,同仁堂,85
289,2005-04,600104,上汽集团,85
290,2005-04,600196,复星医药,85
291,2005-04,600309,万华化学,85
292,2005-04,600362,江西铜业,85
293,2005-04,600519,贵州茅台,85
294,2005-04,600585,海螺水泥,85
295,2005-04,600660,福耀玻璃,85
296,2005-04,600690,海尔智家,85
297,2005-04,600741,华域汽车,85
298,2005-04,600795,国电电力,85
299,2005-04,600900,长江电力,85
300,2005-05,600177,雅戈尔,86
301,2005-05,000709,河钢股份,86
302,2005-05,600170,上海建工,86
303,2005-05,600188,兖州煤业,86
304,2005-05,600221,海航控股,86
305,2005-05,600583,海油工程,86
306,2005-05,000630,铜陵有色,86
307,2005-05,600100,同方股份,86
308,2005-05,600153,建发股份,86
309,2005-05,000402,金融街,86
310,2005-05,000792,盐湖股份,86
311,2005-05,600739,辽宁成大,86
312,2005-05,000060,中金岭南,86
313,2005-05,600649,城投控股,86
314,2005-05,000009,中国宝安,86
315,2005-05,600256,广汇能源,86
316,2005-05,000039,中集集团,86
317,2005-05,000061,农产品,86
318,2005-05,000778,新兴铸管,86
319,2005-05,000800,一汽解放,86
320,2005-05,600839,四川长虹,86
321,2005-05,000729,燕京啤酒,86
322,2005-05,600600,青岛啤酒,86
323,2005-05,600642,申能股份,86
324,2005-05,000937,冀中能源,86
325,2005-05,000983,山西焦煤,86
326,2005-05,000024,招商地产,86
327,2005-05,000839,中信国安,86
328,2005-05,000878,云南铜业,86
329,2005-05,000960,锡业股份,86
330,2005-05,600108,亚盛集团,86
331,2005-05,600348,华阳股份,86
332,2005-05,000401,冀东水泥,86
333,2005-05,600058,五矿发展,86
334,2005-05,600832,明珠集团,86
335,2005-05,000012,南玻集团,86
336,2005-05,000758,中色股份,86
337,2005-05,600096,云天化,86
338,2005-05,600123,兰花科创,86
339,2005-05,600895,张江高科,86
340,2005-05,000528,柳工,86
341,2005-05,000933,神火煤电,86
342,2005-05,600266,北京城建,86
343,2005-05,600598,北大荒,86
344,2005-05,600694,大商股份,86
345,2005-05,600811,东方集团,86
346,2005-05,600997,开滦股份,86
347,2005-05,000807,云铝股份,86
